CaseID,Task,Concept,A1_Destination,A2_Cruise.Line,# of Days,A4_Stateroom,A5 Ship Amenities (Age),A6 Price (Per Person/Day),Response
1,1,1,2,5,2,2,1,2,0
1,1,2,3,1,1,1,1,1,1
1,1,3,4,4,3,2,2,5,0
1,1,4,1,3,5,3,2,3,0
1,2,1,6,6,3,1,1,1,1
1,2,2,3,2,2,3,2,2,0
1,2,3,6,1,1,2,2,4,0
1,2,4,5,2,4,3,1,5,0
1,3,1,2,4,5,3,1,4,1
1,3,2,3,5,3,2,2,3,0
1,3,3,5,6,2,1,2,2,0
1,3,4,1,3,4,2,1,5,0
1,4,1,4,1,4,3,1,3,1
1,4,2,5,4,5,2,1,4,0
1,4,3,4,3,1,1,2,5,0
1,4,4,2,1,5,1,2,1,0
1,6,1,6,5,2,1,1,5,0
1,6,2,2,6,1,2,2,3,0
1,6,3,4,3,5,2,2,2,0
1,6,4,3,4,4,3,1,1,1
1,7,1,5,5,1,3,2,1,1
1,7,2,5,6,4,1,2,4,0
1,7,3,6,2,1,2,1,4,0
1,7,4,4,1,2,3,1,2,0
1,8,1,5,4,5,1,1,2,0
1,8,2,1,3,1,3,2,5,1
1,8,3,3,2,3,2,2,3,0
1,8,4,6,5,5,2,1,5,0
1,9,1,3,4,3,1,1,3,0
1,9,2,2,1,4,1,2,5,0
1,9,3,4,6,3,3,2,4,1
1,9,4,1,2,2,1,1,1,0
1,10,1,2,1,4,2,2,5,0
1,10,2,3,5,5,1,2,1,0
1,10,3,2,4,3,3,1,2,1
1,10,4,6,2,1,3,1,3,0
1,11,1,3,3,2,2,1,4,0
1,11,2,1,6,5,3,1,5,1
1,11,3,4,4,1,2,2,4,0
1,11,4,6,1,5,1,2,2,0
1,13,1,2,6,2,2,1,3,0
1,13,2,3,1,4,3,2,1,1
1,13,3,4,5,4,2,1,2,0
1,13,4,1,3,3,1,2,4,0
1,14,1,5,2,1,2,2,4,0
1,14,2,6,2,2,3,2,5,1
1,14,3,5,4,2,1,1,3,0
1,14,4,2,3,3,3,1,1,0
5,1,1,2,2,2,1,1,4,0
5,1,2,6,4,1,2,2,2,1
5,1,3,3,5,3,3,2,1,0
5,1,4,1,5,4,2,1,5,0
5,2,1,5,6,2,1,1,3,0
5,2,2,4,5,5,3,1,1,1
5,2,3,4,1,1,2,2,5,0
5,2,4,3,6,4,1,2,3,0
5,3,1,2,4,5,3,1,3,0
5,3,2,5,6,2,2,2,5,1
5,3,3,1,3,3,3,2,2,0
5,3,4,6,2,5,1,1,4,0
